x,y,z,V,Robot
-0.072873,-0.5304645,0.5544704,[0.36813703],Franka-Panda
0.22788954,-0.42955723,0.27517486,[0.62333983],Franka-Panda
0.017313078,0.047879543,0.13535976,[0.61682826],Franka-Panda
0.45305848,-0.31788346,0.7467341,[0.23988755],Franka-Panda
-0.29196194,0.29310188,0.17638353,[0.20493266],Franka-Panda
0.15354843,-0.46631387,0.25359017,[0.81176203],Franka-Panda
-0.037976824,-0.07742101,1.1261089,[0.6885093],Franka-Panda
-0.46728456,-0.16639408,-0.07024404,[0.22079621],Franka-Panda
0.18689173,0.48383072,0.2384673,[0.45754084],Franka-Panda
0.42131463,0.49675924,0.23543578,[0.45546728],Franka-Panda
-0.23458952,-0.07200667,0.34007278,[0.46400526],Franka-Panda
0.024283916,0.39408422,-0.31572354,[0.53541976],Franka-Panda
-0.027331844,-0.26273954,0.2886122,[0.1703254],Franka-Panda
-0.2840941,-0.04185222,-0.17807779,[0.99390286],Franka-Panda
-0.119709216,0.32829455,0.3346741,[0.9977818],Franka-Panda
-0.29784772,0.025379505,0.19471624,[0.84418243],Franka-Panda
-0.03606701,0.1480225,0.34152484,[0.14782567],Franka-Panda
0.18015845,-0.09440206,0.16883826,[0.6338285],Franka-Panda
-0.16090974,0.015710782,0.3654035,[0.29410854],Franka-Panda
0.049539484,-0.096936285,0.34176287,[0.9626141],Franka-Panda
-0.31943306,-0.018663146,-0.26134124,[0.11702996],Franka-Panda
-0.117814094,-0.3578329,-0.3773625,[0.4966015],Franka-Panda
-0.23446397,-0.18210654,-0.12792921,[0.08060461],Franka-Panda
-0.23049998,0.19344613,0.8408551,[1.140821],Franka-Panda
0.13303918,0.30064693,0.80546194,[0.582956],Franka-Panda
-0.14564586,0.2871925,0.43596867,[0.22254683],Franka-Panda
-0.19724518,-0.2288697,1.0676626,[0.24726114],Franka-Panda
0.28231296,0.20281467,0.85306776,[0.28186437],Franka-Panda
0.25840002,-0.10093458,0.71248627,[0.1274024],Franka-Panda
-0.14802943,0.5105041,0.054998122,[1.0203267],Franka-Panda
0.67646754,-0.057626575,0.07909374,[0.6641396],Franka-Panda
0.21857804,0.31654546,0.1619244,[0.80020833],Franka-Panda
-0.037842166,0.42357904,0.11903444,[0.52777475],Franka-Panda
-0.4866792,0.10878022,0.1492763,[0.09994832],Franka-Panda
-0.22069657,0.2664278,-0.16719425,[0.09583156],Franka-Panda
-0.3517326,-0.12288423,0.30498007,[0.30791962],Franka-Panda
-0.08256008,0.3536966,0.32222623,[0.47386247],Franka-Panda
-0.03981512,-0.4053347,-0.283511,[0.4967186],Franka-Panda
-0.030712701,-0.011795878,0.14586072,[0.3847296],Franka-Panda
0.2939223,-0.62882483,0.15054014,[0.06162791],Franka-Panda
-0.08257323,0.12806839,0.33260643,[0.0239883],Franka-Panda
0.08939585,0.41938666,0.55717605,[0.0188579],Franka-Panda
